,CustomerName,Recency,Frequency,Monetary,R_rank_norm,F_rank_norm,M_rank_norm,RFM_Score,Customer_segment
325,Heather Kirkland,43,60,61228.96,14.56,38.69,33.67,0.98,Very low value Customer
326,Helen Abelman,13,62,72497.29,59.4,44.16,50.75,4.01,Medium value Customer
327,Helen Andreada,20,63,41010.07,45.09,47.17,9.05,3.04,Medium value Customer
328,Helen Wasserman,34,66,97898.78,23.54,55.53,76.63,1.59,Very low value Customer
329,Henia Zydlo,35,57,49187.0,22.19,30.59,17.84,1.5,Very low value Customer
330,Henry Goldwyn,23,71,90451.58,38.23,69.54,70.35,2.58,Medium value Customer
331,Henry MacAllister,25,64,75648.31,36.56,50.19,55.28,2.47,Low value Customer
332,Herbert Flentye,14,77,42765.13,56.77,81.78,11.06,3.83,Medium value Customer
333,Hilary Holden,54,57,72369.76,8.66,30.59,50.38,0.58,Very low value Customer
334,Hunter Glantz,6,67,81510.06,77.04,58.67,62.06,5.2,High value Customer
335,Hunter Lopez,30,53,127334.28,27.39,19.79,92.96,1.85,Low value Customer
336,Ionia McGrath,15,39,40370.0,53.82,2.39,8.67,3.63,Medium value Customer
337,Irene Maddox,40,82,113861.79,17.83,88.88,87.19,1.2,Very low value Customer
338,Ivan Gibson,1,77,68292.88,95.06,81.78,44.97,6.42,Top Customer
339,Ivan Liston,116,64,72821.01,1.28,50.19,51.38,0.09,Very low value Customer
340,Jack Garza,5,62,67917.11,81.65,44.16,44.47,5.51,Top Customer
341,Jack Lebron,8,83,83209.63,69.85,90.64,63.57,4.72,High value Customer
342,Jack O'Briant,5,51,57020.09,81.65,16.65,28.39,5.51,Top Customer
343,James Galang,1,83,98927.2,95.06,90.64,77.76,6.42,Top Customer
344,James Lanier,6,53,58828.46,77.04,19.79,31.03,5.2,High value Customer
345,Jamie Frazer,6,74,108004.32,77.04,75.38,84.42,5.2,High value Customer
346,Jamie Kunitz,61,50,84282.62,6.29,14.64,65.08,0.42,Very low value Customer
347,Jane Waco,12,75,151740.22,62.41,77.39,96.98,4.21,Medium value Customer
348,Janet Lee,1,69,98301.5,95.06,65.45,76.88,6.42,Top Customer
349,Janet Martin,6,67,98752.58,77.04,58.67,77.64,5.2,High value Customer
350,Janet Molinari,37,77,74619.49,19.69,81.78,54.02,1.33,Very low value Customer
351,Jas O'Carroll,14,44,40331.33,56.77,6.16,8.54,3.83,Medium value Customer
352,Jason Fortune-,56,73,134845.5,7.83,73.3,94.22,0.53,Very low value Customer
353,Jason Gross,2,55,69504.06,89.67,24.56,46.61,6.05,Top Customer
354,Jason Klamczynski,77,62,88298.56,4.04,44.16,68.59,0.27,Very low value Customer
355,Jasper Cacioppo,34,73,98467.89,23.54,73.3,77.14,1.59,Very low value Customer
356,Jay Fein,13,64,46692.25,59.4,50.19,15.2,4.01,Medium value Customer
357,Jay Kimmel,1,67,61546.23,95.06,58.67,34.3,6.42,Top Customer
358,Jenna Caffey,8,75,71066.32,69.85,77.39,48.24,4.72,High value Customer
359,Jennifer Braxton,7,73,62943.23,73.44,73.3,36.68,4.96,High value Customer
360,Jennifer Ferguson,2,66,111467.21,89.67,55.53,86.06,6.05,Top Customer
361,Jennifer Halladay,5,78,59501.02,81.65,84.17,32.04,5.51,Top Customer
362,Jennifer Jackson,19,41,52832.3,47.15,3.14,22.61,3.18,Medium value Customer
363,Jennifer Patt,36,78,73091.93,20.85,84.17,52.14,1.41,Very low value Customer
364,Jeremy Ellison,27,43,28350.21,32.78,4.96,2.14,2.21,Low value Customer
365,Jeremy Farry,4,57,46001.62,85.31,30.59,14.2,5.76,Top Customer
366,Jeremy Lonsdale,30,48,69504.19,27.39,10.93,46.73,1.85,Low value Customer
367,Jeremy Pistek,8,74,72369.2,69.85,75.38,50.25,4.72,High value Customer
368,Jessica Myrick,14,51,36510.9,56.77,16.65,5.15,3.83,Medium value Customer
369,Jesus Ocampo,12,53,32445.13,62.41,19.79,3.14,4.21,Medium value Customer
370,Jill Fjeld,1,78,112849.74,95.06,84.17,86.93,6.42,Top Customer
371,Jill Matthias,0,58,62814.6,100.0,33.61,36.56,6.75,Top Customer
372,Jill Stevenson,5,49,54158.33,81.65,12.63,24.37,5.51,Top Customer
373,Jim Epp,42,64,54940.0,15.52,50.19,25.75,1.05,Very low value Customer
374,Jim Karlsson,1,69,74975.7,95.06,65.45,54.4,6.42,Top Customer
375,Jim Kriz,0,43,69195.12,100.0,4.96,46.48,6.75,Top Customer
376,Jim Mitchum,8,84,77403.23,69.85,92.27,58.42,4.72,High value Customer
377,Jim Radford,12,48,65366.19,62.41,10.93,40.7,4.21,Medium value Customer
378,Jim Sink,40,69,76826.88,17.83,65.45,57.66,1.2,Very low value Customer
379,Jocasta Rupert,7,36,65970.3,73.44,1.44,41.46,4.96,High value Customer
380,Joe Elijah,9,82,131849.26,66.65,88.88,93.84,4.5,High value Customer
381,Joe Kamberova,48,91,129257.18,11.8,97.3,93.47,0.8,Very low value Customer
382,Joel Eaton,32,87,107105.96,26.23,95.6,83.79,1.77,Low value Customer
383,Joel Jenkins,2,83,89083.12,89.67,90.64,69.47,6.05,Top Customer
384,John Castell,1,53,52648.74,95.06,19.79,22.24,6.42,Top Customer
385,John Dryer,15,48,66755.33,53.82,10.93,42.59,3.63,Medium value Customer
386,John Grady,0,95,110189.74,100.0,98.56,85.55,6.75,Top Customer
387,John Huston,13,83,136669.42,59.4,90.64,94.72,4.01,Medium value Customer
388,John Lee,21,72,143140.41,42.66,71.48,95.73,2.88,Medium value Customer
389,John Lucas,44,50,41332.36,13.66,14.64,9.3,0.92,Very low value Customer
390,John Murray,68,79,122387.73,5.64,85.99,90.7,0.38,Very low value Customer
391,John Stevenson,11,42,75677.37,64.79,3.83,55.4,4.37,Medium value Customer
392,Jonathan Doherty,2,86,103352.58,89.67,94.6,80.9,6.05,Top Customer
393,Jonathan Howell,40,81,74178.18,17.83,87.63,53.27,1.2,Very low value Customer
394,Joni Blumstein,9,59,57793.35,66.65,36.31,29.15,4.5,High value Customer
395,Joni Sundaresam,5,53,23251.5,81.65,19.79,1.01,5.51,Top Customer
396,Joni Wasserman,5,60,54541.39,81.65,38.69,25.13,5.51,Top Customer
397,Joseph Airdo,0,76,96343.45,100.0,79.27,75.25,6.75,Top Customer
398,Joseph Holt,11,85,136843.5,64.79,93.53,94.97,4.37,Medium value Customer
399,Joy Bell-,1,84,117011.59,95.06,92.27,88.57,6.42,Top Customer
400,Joy Daniels,42,67,57859.33,15.52,58.67,29.27,1.05,Very low value Customer
401,Joy Smith,21,70,102370.18,42.66,67.71,80.15,2.88,Medium value Customer
402,Julia Barnett,0,57,92498.49,100.0,30.59,72.99,6.75,Top Customer
403,Julia Dunbar,65,48,49669.57,5.9,10.93,18.34,0.4,Very low value Customer
404,Julia West,1,61,109536.61,95.06,41.33,85.18,6.42,Top Customer
405,Juliana Krohn,8,83,99720.22,69.85,90.64,78.39,4.72,High value Customer
406,Julie Creighton,57,63,72771.37,7.31,47.17,51.13,0.49,Very low value Customer
407,Julie Kriz,97,65,87904.93,2.44,52.95,67.84,0.16,Very low value Customer
408,Julie Prescott,26,76,62519.02,34.77,79.27,35.93,2.35,Low value Customer
409,Justin Deggeller,0,71,105655.25,100.0,69.54,82.66,6.75,Top Customer
410,Justin Ellison,20,53,63346.72,45.09,19.79,37.69,3.04,Medium value Customer
411,Justin Hirsh,27,81,123319.57,32.78,87.63,91.21,2.21,Low value Customer
412,Justin MacKendrick,12,53,32138.26,62.41,19.79,3.02,4.21,Medium value Customer
413,Justin Ritter,18,57,70377.82,48.88,30.59,47.74,3.3,Medium value Customer
414,Kai Rey,586,7,9880.23,0.13,0.13,0.13,0.01,Very low value Customer
415,Kalyca Meade,0,43,45760.1,100.0,4.96,13.82,6.75,Top Customer
416,Karen Bern,4,55,57517.66,85.31,24.56,28.77,5.76,Top Customer
417,Karen Carlisle,44,63,41957.42,13.66,47.17,10.05,0.92,Very low value Customer
418,Karen Daniels,36,64,126478.97,20.85,50.19,92.71,1.41,Very low value Customer
419,Karen Ferguson,32,62,96994.52,26.23,44.16,75.88,1.77,Low value Customer
420,Karen Seio,35,43,23053.86,22.19,4.96,0.88,1.5,Very low value Customer
421,Karl Braun,2,93,75381.02,89.67,97.93,55.03,6.05,Top Customer
422,Katharine Harms,16,74,83079.17,50.99,75.38,63.44,3.44,Medium value Customer
423,Katherine Ducich,41,39,56400.7,16.61,2.39,26.76,1.12,Very low value Customer
424,Katherine Hughes,1,75,46732.54,95.06,77.39,15.33,6.42,Top Customer
425,Katherine Murray,2,81,76193.96,89.67,87.63,56.16,6.05,Top Customer
426,Katherine Nockton,19,59,123456.78,47.15,36.31,91.33,3.18,Medium value Customer
427,Katrina Bavinger,19,68,71826.54,47.15,62.19,49.5,3.18,Medium value Customer
428,Katrina Edelman,26,67,70350.61,34.77,58.67,47.49,2.35,Low value Customer
429,Katrina Willman,26,58,79264.04,34.77,33.61,60.3,2.35,Low value Customer
430,Kean Nguyen,37,66,91771.97,19.69,55.53,72.36,1.33,Very low value Customer
431,Kean Takahito,43,82,82480.48,14.56,88.88,62.69,0.98,Very low value Customer
432,Kean Thornton,27,45,28978.54,32.78,7.1,2.26,2.21,Low value Customer
433,Keith Dawkins,46,78,113661.11,12.96,84.17,87.06,0.87,Very low value Customer
434,Keith Herrera,15,79,98625.73,53.82,85.99,77.51,3.63,Medium value Customer
435,Kelly Andreada,16,86,83758.06,50.99,94.6,64.07,3.44,Medium value Customer
436,Kelly Collister,33,55,128874.3,25.02,24.56,93.34,1.69,Low value Customer
437,Kelly Lampkin,15,86,59030.64,53.82,94.6,31.28,3.63,Medium value Customer
438,Kelly Williams,22,71,44814.18,40.09,69.54,12.69,2.71,Medium value Customer
439,Ken Black,93,66,85772.98,2.82,55.53,66.58,0.19,Very low value Customer
440,Ken Brennan,1,56,59773.5,95.06,27.83,32.54,6.42,Top Customer
441,Ken Dana,75,56,76026.31,4.81,27.83,55.78,0.32,Very low value Customer
442,Ken Heidel,8,57,52991.75,69.85,30.59,23.12,4.72,High value Customer
443,Ken Lonsdale,0,82,107086.69,100.0,88.88,83.54,6.75,Top Customer
444,Khloe Miller,15,61,49423.68,53.82,41.33,18.09,3.63,Medium value Customer
445,Kimberly Carter,2,53,72960.61,89.67,19.79,51.76,6.05,Top Customer
446,Kristen Hastings,2,88,97716.46,89.67,96.36,76.26,6.05,Top Customer
447,Kristina Nunn,98,46,46950.08,2.12,8.17,15.7,0.14,Very low value Customer
448,Kunst Miller,28,69,77472.3,30.6,65.45,58.67,2.07,Low value Customer
449,Larry Blacks,9,63,62644.23,66.65,47.17,36.31,4.5,High value Customer
450,Larry Hughes,12,50,43275.05,62.41,14.64,11.68,4.21,Medium value Customer
451,Larry Tron,6,56,82440.45,77.04,27.83,62.56,5.2,High value Customer
452,Laura Armstrong,1,86,148239.52,95.06,94.6,96.61,6.42,Top Customer
453,Laurel Beltran,39,87,166729.8,18.79,95.6,98.49,1.27,Very low value Customer
454,Laurel Elliston,14,61,47904.13,56.77,41.33,16.08,3.83,Medium value Customer
455,Laurel Workman,22,63,45590.5,40.09,47.17,13.57,2.71,Medium value Customer
456,Lauren Leatherbury,26,66,78900.91,34.77,55.53,59.8,2.35,Low value Customer
457,Lela Donovan,42,71,79280.97,15.52,69.54,60.43,1.05,Very low value Customer
458,Lena Cacioppo,23,66,45016.8,38.23,55.53,13.07,2.58,Medium value Customer
459,Lena Creighton,16,69,78339.74,50.99,65.45,58.92,3.44,Medium value Customer
460,Lena Hernandez,21,55,70029.99,42.66,24.56,47.11,2.88,Medium value Customer
461,Lena Radford,26,65,95913.01,34.77,52.95,75.0,2.35,Low value Customer
462,Linda Cazamias,41,67,83847.66,16.61,58.67,64.45,1.12,Very low value Customer
463,Linda Southworth,6,63,50681.01,77.04,47.17,19.72,5.2,High value Customer
464,Lindsay Castell,2,50,73810.91,89.67,14.64,52.89,6.05,Top Customer
465,Lindsay Shagiari,20,59,36628.92,45.09,36.31,5.4,3.04,Medium value Customer
466,Lindsay Williams,14,58,56848.95,56.77,33.61,28.02,3.83,Medium value Customer
467,Lisa DeCherney,43,58,48968.16,14.56,33.61,17.34,0.98,Very low value Customer
468,Lisa Hazard,41,43,41755.19,16.61,4.96,9.8,1.12,Very low value Customer
469,Lisa Ryan,45,78,83774.67,13.15,84.17,64.2,0.89,Very low value Customer
470,Liz Carlisle,4,58,111321.11,85.31,33.61,85.93,5.76,Top Customer
471,Liz MacKendrick,7,50,80420.27,73.44,14.64,61.18,4.96,High value Customer
472,Liz Pelletier,40,54,42885.12,17.83,21.8,11.18,1.2,Very low value Customer
473,Liz Preis,0,71,67162.51,100.0,69.54,43.47,6.75,Top Customer
474,Liz Thompson,34,74,123525.13,23.54,75.38,91.46,1.59,Very low value Customer
475,Liz Willingham,33,41,31634.35,25.02,3.14,2.89,1.69,Low value Customer
476,Logan Currie,13,71,75344.8,59.4,69.54,54.9,4.01,Medium value Customer
477,Logan Haushalter,75,72,76401.69,4.81,71.48,56.66,0.32,Very low value Customer
478,Lori Olson,2,69,63162.06,89.67,65.45,37.19,6.05,Top Customer
479,Luke Foster,22,61,74323.81,40.09,41.33,53.77,2.71,Medium value Customer
480,Luke Schmidt,15,57,63895.21,53.82,30.59,38.44,3.63,Medium value Customer
481,Luke Weiss,21,53,54524.87,42.66,19.79,25.0,2.88,Medium value Customer
482,Lycoris Saunders,4,79,38730.84,85.31,85.99,7.16,5.76,Top Customer
483,Lynn Smith,34,54,55518.82,23.54,21.8,26.01,1.59,Very low value Customer
484,Magdelene Morse,4,66,111967.41,85.31,55.53,86.31,5.76,Top Customer
485,Marc Crier,44,69,65776.79,13.66,65.45,41.21,0.92,Very low value Customer
486,Marc Harrigan,37,64,73614.95,19.69,50.19,52.64,1.33,Very low value Customer
487,Maria Bertelson,1,60,160271.0,95.06,38.69,97.86,6.42,Top Customer
488,Maria Etezadi,5,84,136685.0,81.65,92.27,94.85,5.51,Top Customer
489,Maria Zettner,21,53,93796.86,42.66,19.79,73.74,2.88,Medium value Customer
490,Maribeth Dona,26,70,91535.24,34.77,67.71,71.86,2.35,Low value Customer
491,Maribeth Schnelling,5,79,113935.91,81.65,85.99,87.31,5.51,Top Customer
492,Maribeth Yedwab,29,56,83704.14,28.74,27.83,63.94,1.94,Low value Customer
493,Marina Lichtenstein,0,57,102823.35,100.0,30.59,80.53,6.75,Top Customer
494,Maris LaWare,33,60,65630.92,25.02,38.69,40.95,1.69,Low value Customer
495,Mark Cousins,23,74,93147.92,38.23,75.38,73.12,2.58,Medium value Customer
496,Mark Haberlin,8,73,42063.02,69.85,73.3,10.3,4.72,High value Customer
497,Mark Hamilton,54,64,58110.05,8.66,50.19,29.52,0.58,Very low value Customer
498,Mark Packer,5,52,56416.26,81.65,18.09,27.01,5.51,Top Customer
499,Mark Van Huff,16,57,39305.55,50.99,30.59,8.04,3.44,Medium value Customer
500,Mary O'Rourke,36,57,43028.83,20.85,30.59,11.31,1.41,Very low value Customer
501,Mary Zewe,23,77,71931.31,38.23,81.78,49.62,2.58,Medium value Customer
502,MaryBeth Skach,15,63,66798.88,53.82,47.17,42.71,3.63,Medium value Customer
503,Mathew Reese,97,76,92018.91,2.44,79.27,72.49,0.16,Very low value Customer
504,Matt Abelman,64,82,44981.38,6.09,88.88,12.81,0.41,Very low value Customer
505,Matt Collins,9,75,90182.0,66.65,77.39,70.23,4.5,High value Customer
506,Matt Collister,51,55,52901.08,9.81,24.56,22.86,0.66,Very low value Customer
507,Matt Connell,49,58,52927.7,10.78,33.61,22.99,0.73,Very low value Customer
508,Matt Hagelstein,23,60,42739.69,38.23,38.69,10.8,2.58,Medium value Customer
509,Matthew Clasen,5,80,128073.73,81.65,87.06,93.09,5.51,Top Customer
510,Matthew Grinstein,19,51,56212.21,47.15,16.65,26.51,3.18,Medium value Customer
511,Maureen Fritzler,48,56,56499.13,11.8,27.83,27.14,0.8,Very low value Customer
512,Maureen Gastineau,36,83,94320.8,20.85,90.64,73.87,1.41,Very low value Customer
513,Maureen Gnade,0,74,107240.08,100.0,75.38,84.05,6.75,Top Customer
514,Maurice Satty,29,61,41640.99,28.74,41.33,9.67,1.94,Low value Customer
515,Max Engle,11,72,35964.72,64.79,71.48,4.27,4.37,Medium value Customer
516,Max Jones,21,60,63099.55,42.66,38.69,37.06,2.88,Medium value Customer
517,Max Ludwig,1,63,77459.87,95.06,47.17,58.54,6.42,Top Customer
518,Maxwell Schwartz,34,73,93552.26,23.54,73.3,73.62,1.59,Very low value Customer
519,Maya Herman,0,62,57768.29,100.0,44.16,29.02,6.75,Top Customer
520,Meg O'Connel,6,58,110963.28,77.04,33.61,85.68,5.2,High value Customer
521,Meg Tillman,49,59,76407.8,10.78,36.31,56.78,0.73,Very low value Customer
522,Melanie Seite,4,70,82154.51,85.31,67.71,62.31,5.76,Top Customer
523,Michael Chen,1,65,49093.7,95.06,52.95,17.59,6.42,Top Customer
524,Michael Dominguez,36,59,155224.95,20.85,36.31,97.49,1.41,Very low value Customer
525,Michael Grace,5,61,72089.98,81.65,41.33,49.75,5.51,Top Customer
526,Michael Granlund,5,63,79355.08,81.65,47.17,60.55,5.51,Top Customer
527,Michael Kennedy,21,74,63846.8,42.66,75.38,38.32,2.88,Medium value Customer
528,Michael Moore,7,78,111526.48,73.44,84.17,86.18,4.96,High value Customer
529,Michael Nguyen,8,55,78342.34,69.85,24.56,59.05,4.72,High value Customer
530,Michael Oakman,6,29,17070.44,77.04,0.25,0.38,5.2,High value Customer
531,Michael Paige,27,94,78508.67,32.78,98.24,59.3,2.21,Low value Customer
532,Michael Stewart,6,77,88820.08,77.04,81.78,68.84,5.2,High value Customer
533,Michelle Arnett,16,59,54904.44,50.99,36.31,25.63,3.44,Medium value Customer
534,Michelle Ellison,42,49,37843.19,15.52,12.63,6.16,1.05,Very low value Customer
535,Michelle Huthwaite,14,50,62541.65,56.77,14.64,36.06,3.83,Medium value Customer
536,Michelle Lonsdale,7,47,48450.72,73.44,9.36,16.96,4.96,High value Customer
537,Michelle Moray,15,66,48092.09,53.82,55.53,16.71,3.63,Medium value Customer
538,Michelle Tran,127,68,93310.68,0.64,62.19,73.24,0.04,Very low value Customer
539,Mick Brown,11,71,79062.12,64.79,69.54,60.05,4.37,Medium value Customer
540,Mick Crebagga,41,62,49710.97,16.61,44.16,18.59,1.12,Very low value Customer
541,Mick Hernandez,5,67,54358.83,81.65,58.67,24.5,5.51,Top Customer
542,Mike Caudle,51,57,45676.09,9.81,30.59,13.69,0.66,Very low value Customer
543,Mike Gockenbach,2,51,123964.56,89.67,16.65,91.71,6.05,Top Customer
544,Mike Kennedy,22,82,53737.33,40.09,88.88,23.99,2.71,Medium value Customer
545,Mike Pelletier,16,82,94570.1,50.99,88.88,73.99,3.44,Medium value Customer
546,Mike Vittorini,7,62,100227.35,73.44,44.16,78.89,4.96,High value Customer
547,Mitch Gastineau,1,68,77168.53,95.06,62.19,58.04,6.42,Top Customer
548,Mitch Webber,17,74,120965.91,49.65,75.38,90.08,3.35,Medium value Customer
549,Mitch Willingham,0,66,76243.34,100.0,55.53,56.28,6.75,Top Customer
550,Monica Federle,7,86,119791.03,73.44,94.6,89.45,4.96,High value Customer
551,Muhammed Lee,8,71,62265.5,69.85,69.54,35.18,4.72,High value Customer
552,Muhammed MacIntyre,12,55,43541.93,62.41,24.56,11.81,4.21,Medium value Customer
553,Muhammed Yedwab,0,108,144857.51,100.0,100.0,95.98,6.75,Top Customer
554,Nancy Lomonaco,25,43,50745.4,36.56,4.96,19.85,2.47,Low value Customer
555,Naresj Patel,1,65,46999.4,95.06,52.95,15.83,6.42,Top Customer
556,Nat Carroll,5,76,66841.77,81.65,79.27,42.96,5.51,Top Customer
557,Nat Gilpin,48,66,40017.11,11.8,55.53,8.29,0.8,Very low value Customer
558,Natalie DeCherney,12,63,68258.06,62.41,47.17,44.85,4.21,Medium value Customer
559,Natalie Fritzler,1,95,147030.12,95.06,98.56,96.48,6.42,Top Customer
560,Natalie Webber,117,79,122215.03,1.15,85.99,90.45,0.08,Very low value Customer
561,Nathan Cano,39,49,47994.19,18.79,12.63,16.58,1.27,Very low value Customer
562,Nathan Gelder,18,65,101888.44,48.88,52.95,79.77,3.3,Medium value Customer
563,Nathan Mautz,30,75,97043.82,27.39,77.39,76.01,1.85,Low value Customer
564,Neil Ducich,5,57,74195.52,81.65,30.59,53.39,5.51,Top Customer
565,Neil Französisch,6,62,47864.79,77.04,44.16,15.95,5.2,High value Customer
566,Neil Knudson,26,63,66507.84,34.77,47.17,42.34,2.35,Low value Customer
567,Neola Schneider,6,75,86465.58,77.04,77.39,66.96,5.2,High value Customer
568,Neoma Murray,19,54,80689.13,47.15,21.8,61.43,3.18,Medium value Customer
569,Nick Crebassa,6,50,44811.94,77.04,14.64,12.56,5.2,High value Customer
570,Nick Radford,2,68,44075.13,89.67,62.19,12.19,6.05,Top Customer
571,Nick Zandusky,85,66,107218.27,3.46,55.53,83.92,0.23,Very low value Customer
572,Nicole Brennan,428,31,25811.82,0.26,0.44,1.63,0.02,Very low value Customer
573,Nicole Fjeld,11,43,58536.08,64.79,4.96,29.9,4.37,Medium value Customer
574,Nicole Hansen,5,72,96474.37,81.65,71.48,75.38,5.51,Top Customer
575,Noah Childs,20,59,90618.23,45.09,36.31,70.73,3.04,Medium value Customer
576,Noel Staavos,36,92,70873.3,20.85,97.68,48.12,1.41,Very low value Customer
577,Nona Balk,19,51,45773.49,47.15,16.65,13.94,3.18,Medium value Customer
578,Nora Paige,58,48,61644.04,6.67,10.93,34.55,0.45,Very low value Customer
579,Nora Pelletier,14,66,76070.43,56.77,55.53,55.9,3.83,Medium value Customer
580,Nora Preis,28,62,99601.68,30.6,44.16,78.14,2.07,Low value Customer
581,Odella Nelson,47,74,112100.18,12.64,75.38,86.43,0.85,Very low value Customer
582,Olvera Toch,33,73,94718.06,25.02,73.3,74.25,1.69,Low value Customer
583,Pamela Coakley,2,48,53635.39,89.67,10.93,23.74,6.05,Top Customer
584,Pamela Stobb,29,66,86869.39,28.74,55.53,67.21,1.94,Low value Customer
585,Parhena Norris,15,58,59824.18,53.82,33.61,32.66,3.63,Medium value Customer
586,Patricia Hirasaki,57,41,41984.27,7.31,3.14,10.18,0.49,Very low value Customer
587,Patrick Bzostek,8,62,52466.19,69.85,44.16,21.73,4.72,High value Customer
588,Patrick Gardner,20,78,82627.28,45.09,84.17,63.19,3.04,Medium value Customer
589,Patrick Jones,39,45,137449.86,18.79,7.1,95.1,1.27,Very low value Customer
590,Patrick O'Brill,4,102,161127.79,85.31,99.62,97.99,5.76,Top Customer
591,Patrick O'Donnell,0,78,154859.0,100.0,84.17,97.36,6.75,Top Customer
592,Patrick Ryan,25,72,67516.51,36.56,71.48,43.72,2.47,Low value Customer
593,Paul Gonzalez,2,92,68237.96,89.67,97.68,44.72,6.05,Top Customer
594,Paul Knutson,98,39,36654.71,2.12,2.39,5.53,0.14,Very low value Customer
595,Paul Lucas,15,47,62363.87,53.82,9.36,35.55,3.63,Medium value Customer
596,Paul MacIntyre,21,48,90949.98,42.66,10.93,70.98,2.88,Medium value Customer
597,Paul Prost,14,79,116482.86,56.77,85.99,88.19,3.83,Medium value Customer
598,Paul Stevenson,27,68,87910.14,32.78,62.19,67.96,2.21,Low value Customer
599,Paul Van Hugh,8,65,115488.09,69.85,52.95,87.81,4.72,High value Customer
600,Pauline Chand,21,47,60879.43,42.66,9.36,33.29,2.88,Medium value Customer
601,Pauline Johnson,19,65,115949.6,47.15,52.95,88.07,3.18,Medium value Customer
602,Pauline Webber,7,69,64622.32,73.44,65.45,39.32,4.96,High value Customer
603,Penelope Sewall,20,82,142010.95,45.09,88.88,95.6,3.04,Medium value Customer
604,Pete Armstrong,23,56,70269.84,38.23,27.83,47.24,2.58,Medium value Customer
605,Pete Kriz,8,73,88291.01,69.85,73.3,68.47,4.72,High value Customer
606,Pete Takahito,2,51,65330.05,89.67,16.65,40.45,6.05,Top Customer
607,Peter Bühler,0,47,51420.68,100.0,9.36,20.6,6.75,Top Customer
608,Peter Fuller,83,87,178067.58,3.72,95.6,99.12,0.25,Very low value Customer
609,Peter McVee,12,46,50982.96,62.41,8.17,20.1,4.21,Medium value Customer
610,Philip Brown,5,76,43942.53,81.65,79.27,11.93,5.51,Top Customer
611,Philip Fox,34,67,96985.4,23.54,58.67,75.75,1.59,Very low value Customer
612,Philisse Overcash,29,73,99734.02,28.74,73.3,78.52,1.94,Low value Customer
613,Phillina Ober,33,69,105982.94,25.02,65.45,82.79,1.69,Low value Customer
614,Phillip Breyer,8,84,104771.24,69.85,92.27,81.91,4.72,High value Customer
615,Phillip Flathmann,2,68,61591.06,89.67,62.19,34.42,6.05,Top Customer
616,Pierre Wener,1,61,24226.78,95.06,41.33,1.13,6.42,Top Customer
617,Quincy Jones,25,53,103078.49,36.56,19.79,80.78,2.47,Low value Customer
618,Rachel Payne,7,74,76574.0,73.44,75.38,57.16,4.96,High value Customer
619,Ralph Arnett,5,88,107958.34,81.65,96.36,84.17,5.51,Top Customer
620,Ralph Kennedy,28,64,68576.64,30.6,50.19,45.6,2.07,Low value Customer
621,Ralph Ritter,19,54,54876.63,47.15,21.8,25.5,3.18,Medium value Customer
622,Randy Bradley,15,83,98450.04,53.82,90.64,77.01,3.63,Medium value Customer
623,Randy Ferguson,6,63,71211.84,77.04,47.17,48.37,5.2,High value Customer
624,Raymond Buch,20,71,144069.47,45.09,69.54,95.85,3.04,Medium value Customer
625,Raymond Messe,9,61,88488.18,66.65,41.33,68.72,4.5,High value Customer
626,Resi Pölking,15,91,104737.68,53.82,97.3,81.78,3.63,Medium value Customer
627,Ricardo Emerson,28,59,73288.5,30.6,36.31,52.26,2.07,Low value Customer
628,Ricardo Sperren,33,68,54973.23,25.02,62.19,25.88,1.69,Low value Customer
629,Richard Bierner,19,67,72350.17,47.15,58.67,50.13,3.18,Medium value Customer
630,Richard Eichhorn,15,67,71436.6,53.82,58.67,48.74,3.63,Medium value Customer
631,Rick Bensley,0,79,122770.01,100.0,85.99,90.95,6.75,Top Customer
632,Rick Duston,0,66,91527.8,100.0,55.53,71.73,6.75,Top Customer
633,Rick Hansen,24,56,98490.07,37.4,27.83,77.26,2.52,Medium value Customer
634,Rick Huthwaite,20,58,56616.77,45.09,33.61,27.51,3.04,Medium value Customer
635,Rick Reed,0,73,78930.38,100.0,73.3,59.92,6.75,Top Customer
636,Rick Wilson,26,68,136373.03,34.77,62.19,94.6,2.35,Low value Customer
637,Ritsa Hightower,7,60,100335.04,73.44,38.69,79.02,4.96,High value Customer
638,Rob Beeghly,20,62,64732.48,45.09,44.16,39.7,3.04,Medium value Customer
639,Rob Dowd,25,90,103008.97,36.56,96.98,80.65,2.47,Low value Customer
640,Rob Haberlin,6,47,35606.04,77.04,9.36,4.15,5.2,High value Customer
641,Rob Lucas,120,65,72437.12,0.9,52.95,50.5,0.06,Very low value Customer
642,Rob Williams,77,48,37821.0,4.04,10.93,6.03,0.27,Very low value Customer
643,Robert Barroso,150,45,22771.94,0.51,7.1,0.63,0.03,Very low value Customer
644,Robert Dilbeck,27,56,64582.51,32.78,27.83,39.07,2.21,Low value Customer
645,Robert Marley,4,47,58734.25,85.31,9.36,30.4,5.76,Top Customer
646,Robert Waldorf,15,64,61657.72,53.82,50.19,34.67,3.63,Medium value Customer
647,Roger Barcio,16,54,51332.36,50.99,21.8,20.48,3.44,Medium value Customer
648,Roger Demir,21,77,68884.28,42.66,81.78,46.23,2.88,Medium value Customer
649,Roland Fjeld,1,59,56405.89,95.06,36.31,26.88,6.42,Top Customer
650,Roland Murray,16,37,40935.35,50.99,1.88,8.79,3.44,Medium value Customer
651,Roland Schwarz,36,49,72819.17,20.85,12.63,51.26,1.41,Very low value Customer
